,Year,Rank,Title,Artist,compound,pos,neg,neu
189,2014,42,Don't Tell 'Em,Jeremih Featuring YG,0.9858,0.094,0.046,0.86
190,2014,43,Show Me,Kid Ink Featuring Chris Brown,0.9704,0.098,0.064,0.838
191,2014,44,Wrecking Ball,Miley Cyrus,0.8519,0.161,0.128,0.711
192,2014,45,Not A Bad Thing,Justin Timberlake,0.9813,0.184,0.143,0.673
193,2014,46,Roar,Katy Perry,0.9945,0.133,0.035,0.832
194,2014,47,Ain't It Fun,Paramore,-0.9972,0.034,0.158,0.808
195,2014,48,The Man,Aloe Blacc,0.9983,0.191,0.035,0.775
196,2014,49,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,0.9928,0.108,0.011,0.881
197,2014,50,Classic,MKTO,0.9978,0.225,0.036,0.739
198,2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra,0.9796,0.143,0.072,0.785
199,2012,2,Call Me Maybe,Carly Rae Jepsen,-0.9949,0.054,0.167,0.779
200,2012,3,We Are Young,fun. Featuring Janelle Monae,0.9146,0.087,0.061,0.851
201,2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa,-0.9612,0.062,0.093,0.845
202,2012,5,Lights,Ellie Goulding,-0.2263,0.073,0.101,0.826
203,2012,6,Glad You Came,The Wanted,0.9954,0.167,0.011,0.822
204,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,0.9992,0.317,0.051,0.632
205,2012,8,We Found Love,Rihanna Featuring Calvin Harris,0.9869,0.25,0.174,0.576
206,2012,9,Starships,Nicki Minaj,0.8938,0.091,0.048,0.861
207,2012,10,What Makes You Beautiful,One Direction,-0.99,0.083,0.134,0.783
208,2012,11,Wild Ones,Flo Rida Featuring Sia,0.9052,0.111,0.078,0.812
209,2012,12,Set Fire To The Rain,Adele,-0.7682,0.097,0.122,0.781
210,2012,13,Sexy And I Know It,LMFAO,0.9948,0.161,0.013,0.825
211,2012,14,Some Nights,fun.,0.9796,0.101,0.069,0.83
212,2012,15,Wide Awake,Katy Perry,0.9326,0.11,0.072,0.818
213,2012,16,Good Feeling,Flo Rida,0.9994,0.359,0.033,0.608
214,2012,17,Whistle,Flo Rida,0.9808,0.095,0.046,0.859
215,2012,18,One More Night,Maroon 5,0.9685,0.168,0.128,0.704
216,2012,19,Drive By,Train,0.9839,0.144,0.09,0.765
217,2012,20,The Motto,Drake Featuring Lil Wayne,-0.7867,0.139,0.128,0.733
218,2012,21,Where Have You Been,Rihanna,0.9785,0.116,0.016,0.868
219,2012,22,Everybody Talks,Neon Trees,0.933,0.103,0.059,0.838
220,2012,23,Take Care,Drake Featuring Rihanna,0.6316,0.143,0.132,0.724
221,2012,24,Titanium,David Guetta Featuring Sia,-0.9886,0.089,0.249,0.663
222,2012,25,I Won't Give Up,Jason Mraz,0.9931,0.175,0.012,0.813
223,2012,26,It Will Rain,Bruno Mars,-0.9392,0.083,0.135,0.782
224,2012,27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",0.9819,0.1,0.069,0.831
225,2012,28,Boyfriend,Justin Bieber,0.995,0.153,0.011,0.836
226,2012,29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,0.9883,0.129,0.064,0.807
227,2012,30,Too Close,Alex Clare,0.9984,0.302,0.016,0.682
228,2012,31,Part Of Me,Katy Perry,-0.9067,0.043,0.075,0.882
229,2012,32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,0.9525,0.105,0.079,0.816
