Year,Rank,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2011,85,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
2011,86,0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956
2011,87,0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873
2011,88,0.634,0.716,2,-6.502,1,0.128,0.0341,0.0,0.0877,0.619,91.039
2011,89,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902
2011,90,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016
2011,91,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001
2011,92,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038
2011,93,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977
2011,94,0.364,0.841,8,-4.831,1,0.119,0.000402,0.0,0.242,0.0837,100.14
2011,95,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948
2011,96,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039
2011,97,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839
2011,98,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975
2011,99,0.387,0.773,8,-5.685,1,0.17,0.098,0.0,0.209,0.368,78.629
2010,1,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028
2010,2,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943
2010,3,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012
2010,4,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005
2010,5,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998
2010,6,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033
2010,7,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989
2010,8,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
2010,9,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975
2010,10,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01
2010,11,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993
2010,12,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011
2010,13,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005
2010,14,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009
2010,15,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906
2010,16,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021
2010,17,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011
2010,18,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012
2010,19,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965
2010,20,0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035
2010,21,0.696,0.683,6,-8.766,1,0.126,0.0224,1.81e-06,0.135,0.796,86.667
2010,22,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963
2010,23,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776
2010,24,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635
2010,25,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031
2010,26,0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003
2010,27,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034
2010,28,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057
2010,29,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
2010,30,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114
2010,31,0.724,0.87,1,-3.614,0,0.113,0.00453,0.0,0.833,0.81,93.01
2010,32,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038
2010,33,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992
2010,34,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338
2010,35,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917
2010,36,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96
2010,37,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913
2010,38,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68
2010,39,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58
2010,40,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966
2010,41,0.727,0.68,2,-4.498,1,0.0286,0.0101,0.0,0.0821,0.728,132.012
2010,42,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016
2010,43,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036
2010,44,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043
2010,45,0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948
2010,46,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07
2010,47,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
2010,48,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011
2010,49,0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032
2010,50,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
2010,51,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003
2010,52,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989
2010,53,0.854,0.674,11,-4.896,1,0.0705,0.0204,0.0,0.101,0.818,125.845
2010,54,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024
2010,55,0.619,0.917,5,-2.582,1,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002
2010,56,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789
2010,57,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964
2010,58,0.8,0.621,11,-6.838,0,0.0651,0.00409,2.47e-05,0.131,0.448,130.002
2010,59,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036
2010,60,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928
2010,61,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039
2010,62,0.704,0.81,4,-4.874,0,0.0425,0.000315,0.0,0.216,0.726,102.98
2010,63,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439
2010,64,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906
2010,65,0.42,0.787,8,-4.467,1,0.294,0.0104,0.0,0.198,0.38,97.967
2010,66,0.422,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.63
2010,67,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
2010,68,0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987
2010,69,0.697,0.709,5,-1.917,0,0.0455,0.0452,0.0,0.138,0.787,134.91
2010,70,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034
